Data Zone,Local Authority Code,Local Authority Name,"Education, Skills and Training domain 2012 rank1","People aged 16-19 not in full time education, employment or training rate 
(School Leavers 2009/10-2010-11, DWP 2010 and 2011)","Proportion of 17- 21 year olds entering higher education 
(HESA 2008/09-2010/11)3","Pupil Performance on SQA at Stage 4 (SQA, 2008/09-2010/11)5","School Pupil Absences 
(Scottish Government, 2009/10-2010/11)4,5"
S01002102,230,"Edinburgh, City of",199,13,*,232,14.2
S01002103,230,"Edinburgh, City of",6095,5,18.39,128,3.3
S01002104,230,"Edinburgh, City of",1387,2,*,219,11.7
S01002105,230,"Edinburgh, City of",6489,0,32.41,225,3.2
S01002106,230,"Edinburgh, City of",3538,4,14.98,171,14.4
S01002107,230,"Edinburgh, City of",3320,8,7.53,160,6.6
S01002108,230,"Edinburgh, City of",1923,3,*,231,12.2
S01002109,230,"Edinburgh, City of",4334,3,*,270,8.5
S01002110,230,"Edinburgh, City of",6499,0,28.36,250,3.7
S01002111,230,"Edinburgh, City of",6328,4.6875,19.08,215,3.3
S01002112,230,"Edinburgh, City of",5147,7,16.3,199,6.5
S01002113,230,"Edinburgh, City of",6070,1,21.74,255,4.4
S01002114,230,"Edinburgh, City of",6368,2,18.18,253,3.7
S01002115,230,"Edinburgh, City of",6181,3,6.04,181,4.4
S01002116,230,"Edinburgh, City of",3276,15,10.88,38,7.3
S01002117,230,"Edinburgh, City of",1170,10,*,205,7.1
S01002118,230,"Edinburgh, City of",4018,2,*,161,5.9
S01002119,230,"Edinburgh, City of",1674,7,*,193,9.3
S01002120,230,"Edinburgh, City of",4888,4,11.66,191,6.4
S01002121,230,"Edinburgh, City of",3529,3,8.43,229,6.9
S01002122,230,"Edinburgh, City of",6502,0,40.19,224,1.8
S01002123,230,"Edinburgh, City of",6018,2,10.79,205,3.9
S01002124,230,"Edinburgh, City of",5390,5,12.22,198,5.8
S01002125,230,"Edinburgh, City of",5385,2,16.52,211,6.1
S01002126,230,"Edinburgh, City of",5155,0,9.86,221,5
S01002127,230,"Edinburgh, City of",4576,14,17.44,50,6.8
S01002128,230,"Edinburgh, City of",4841,4,6.56,170,7.1
S01002129,230,"Edinburgh, City of",740,1,*,198,11.2
S01002130,230,"Edinburgh, City of",3406,10,11.67,185,7.2
S01002131,230,"Edinburgh, City of",2356,11,*,254,11.7
S01002132,230,"Edinburgh, City of",3420,7,7.45,191,7.4
S01002133,230,"Edinburgh, City of",6397,0,18.63,216,4.4
S01002134,230,"Edinburgh, City of",5412,2,19.18,151,4.9
S01002135,230,"Edinburgh, City of",6442,1,27.33,190,3.3
S01002136,230,"Edinburgh, City of",5118,0,5.1,176,6.5
S01002137,230,"Edinburgh, City of",3623,7,7.8,246,6.2
S01002138,230,"Edinburgh, City of",3596,12,8.6,111,6
S01002139,230,"Edinburgh, City of",5860,3.125,11.82,193,4.9
S01002140,230,"Edinburgh, City of",804,18,*,198,8.1
S01002141,230,"Edinburgh, City of",3788,4.6875,6.6,171,7.8
S01002142,230,"Edinburgh, City of",5097,5,10.98,284,5
S01002143,230,"Edinburgh, City of",3687,2,*,287,6.4
S01002144,230,"Edinburgh, City of",6467,5,35.62,174,4.9
S01002145,230,"Edinburgh, City of",6345,0,12.95,165,6.5
S01002146,230,"Edinburgh, City of",3267,11,6.67,283,7.2
S01002147,230,"Edinburgh, City of",2401,9,5.42,145,8.2
S01002148,230,"Edinburgh, City of",6491,4,25.45,165,2.6
S01002149,230,"Edinburgh, City of",1334,18,5.11,130,10.6
S01002150,230,"Edinburgh, City of",3560,12,12.86,199,8.1
S01002151,230,"Edinburgh, City of",1754,19,*,217,9.9
S01002152,230,"Edinburgh, City of",6283,0,13.22,142,3.7
S01002153,230,"Edinburgh, City of",4871,6.25,12.5,143,6.1
S01002154,230,"Edinburgh, City of",1268,20,*,316,9.1
S01002155,230,"Edinburgh, City of",832,13,5.73,220,13.4
S01002156,230,"Edinburgh, City of",6407,0,*,16,4.7
S01002157,230,"Edinburgh, City of",6395,0,24.51,43,4.7
S01002158,230,"Edinburgh, City of",5519,0,20.31,138,3.7
S01002159,230,"Edinburgh, City of",1600,3.125,*,201,10
S01002160,230,"Edinburgh, City of",1505,19,6.02,165,10.6
S01002161,230,"Edinburgh, City of",4549,3.75,25.74,104,9.9
S01002162,230,"Edinburgh, City of",3554,4,7.63,164,7
S01002163,230,"Edinburgh, City of",1988,6,*,176,9.8
S01002164,230,"Edinburgh, City of",2324,4,*,244,7.1
S01002165,230,"Edinburgh, City of",4198,5,7.84,148,5.9
S01002166,230,"Edinburgh, City of",6034,7,8.27,215,6.4
S01002167,230,"Edinburgh, City of",3087,6,9.28,195,6.6
S01002168,230,"Edinburgh, City of",5361,0,11.18,177,7.1
S01002169,230,"Edinburgh, City of",5848,3,14.67,167,4.6
S01002170,230,"Edinburgh, City of",2574,13,6.12,213,7
S01002171,230,"Edinburgh, City of",3425,6,11.49,215,6.9
S01002172,230,"Edinburgh, City of",5567,4,14.02,131,4.1
S01002173,230,"Edinburgh, City of",5745,2,13.85,174,5
S01002174,230,"Edinburgh, City of",3829,0,*,198,6.1
S01002175,230,"Edinburgh, City of",3348,14,6.5,205,6.8
S01002176,230,"Edinburgh, City of",4296,7,*,245,5
S01002177,230,"Edinburgh, City of",6033,0,18.52,207,6.1
S01002178,230,"Edinburgh, City of",6339,0,15,207,3.9
S01002179,230,"Edinburgh, City of",4820,2,9,235,6.1
S01002180,230,"Edinburgh, City of",4560,0,*,136,7.1
S01002181,230,"Edinburgh, City of",3793,0,*,195,7.8
S01002182,230,"Edinburgh, City of",5573,0,5.42,118,5.8
S01002183,230,"Edinburgh, City of",2284,18.75,*,85,4.8
S01002184,230,"Edinburgh, City of",5975,1.5625,25.3,230,4.8
S01002185,230,"Edinburgh, City of",633,15,*,205,8.7
S01002186,230,"Edinburgh, City of",2935,5,6.72,223,6.2
S01002187,230,"Edinburgh, City of",6012,0,5.75,245,7.2
S01002188,230,"Edinburgh, City of",5971,3,13.48,97,3.6
S01002189,230,"Edinburgh, City of",3964,11,*,170,6.3
S01002190,230,"Edinburgh, City of",4593,8,5.88,249,8
S01002191,230,"Edinburgh, City of",430,10.9375,*,162,10
S01002192,230,"Edinburgh, City of",3489,6,11.41,185,6.7
S01002193,230,"Edinburgh, City of",6465,1.5625,28.7,205,3.4
S01002194,230,"Edinburgh, City of",2666,9,*,169,7.3
S01002195,230,"Edinburgh, City of",5240,5,7.02,219,4.8
S01002196,230,"Edinburgh, City of",5084,6,15.45,211,6.7
S01002197,230,"Edinburgh, City of",3200,12.5,6.67,241,6.3
S01002198,230,"Edinburgh, City of",3789,4,*,212,7
S01002199,230,"Edinburgh, City of",4907,5,7.69,167,7.7
S01002200,230,"Edinburgh, City of",6476,4.6875,35.16,199,2.9
S01002201,230,"Edinburgh, City of",5941,0,10.83,125,5.4
S01002202,230,"Edinburgh, City of",3849,2,5.73,218,8.7
S01002203,230,"Edinburgh, City of",3653,14,*,48,4.9
S01002204,230,"Edinburgh, City of",890,18.75,*,218,7.5
S01002205,230,"Edinburgh, City of",6127,0,22.58,289,6.4
S01002206,230,"Edinburgh, City of",1826,7,5.2,125,8.1
S01002207,230,"Edinburgh, City of",5075,2.5,7.65,108,6.1
S01002208,230,"Edinburgh, City of",5822,6,*,123,5.3
S01002209,230,"Edinburgh, City of",2255,9,6.8,169,9.3
S01002210,230,"Edinburgh, City of",6340,0,21.88,140,2.9
S01002211,230,"Edinburgh, City of",716,9,*,220,8.9
S01002212,230,"Edinburgh, City of",1374,12,5.11,97,9.6
S01002213,230,"Edinburgh, City of",3312,10,8.2,141,6.8
S01002214,230,"Edinburgh, City of",4352,2,6.31,279,8
S01002215,230,"Edinburgh, City of",6176,3,23.86,230,3.7
S01002216,230,"Edinburgh, City of",1138,14,5.33,243,11.2
S01002217,230,"Edinburgh, City of",2277,11,*,139,8.7
S01002218,230,"Edinburgh, City of",6222,0,*,227,4.4
S01002219,230,"Edinburgh, City of",6168,3,22.5,239,4.1
S01002220,230,"Edinburgh, City of",6352,2,16.38,217,4.8
S01002221,230,"Edinburgh, City of",1864,9,*,203,9.1
S01002222,230,"Edinburgh, City of",6188,0,23.85,233,5.1
S01002223,230,"Edinburgh, City of",6309,2,26.39,137,4.2
S01002224,230,"Edinburgh, City of",6406,0,37.76,193,4.6
S01002225,230,"Edinburgh, City of",5587,5,40.12,218,6
S01002226,230,"Edinburgh, City of",5590,4,9.24,189,4.4
S01002227,230,"Edinburgh, City of",538,28,*,224,11
S01002228,230,"Edinburgh, City of",3712,3,8.74,126,7.9
S01002229,230,"Edinburgh, City of",6130,3.125,23.66,157,4.2
S01002230,230,"Edinburgh, City of",3497,17.5,5.5,103,7.9
S01002231,230,"Edinburgh, City of",5835,0,*,122,5
S01002232,230,"Edinburgh, City of",1103,14,*,123,7.9
S01002233,230,"Edinburgh, City of",2040,17,*,192,8.4
S01002234,230,"Edinburgh, City of",1564,10,*,123,7
S01002235,230,"Edinburgh, City of",3009,17.5,8.08,123,7
S01002236,230,"Edinburgh, City of",1186,9,*,137,8.5
S01002237,230,"Edinburgh, City of",3597,9,5.68,127,5.8
S01002238,230,"Edinburgh, City of",922,18,7.69,224,10
S01002239,230,"Edinburgh, City of",605,15,*,216,9.5
S01002240,230,"Edinburgh, City of",2065,15,7.83,187,9.5
S01002241,230,"Edinburgh, City of",847,18,*,142,9
S01002242,230,"Edinburgh, City of",5765,6.25,14.96,152,4.8
S01002243,230,"Edinburgh, City of",3866,6.25,7.94,106,8.4
S01002244,230,"Edinburgh, City of",2469,17,*,200,7.5
S01002245,230,"Edinburgh, City of",3541,3.125,5.52,110,7.4
S01002246,230,"Edinburgh, City of",2576,6,*,198,7.7
S01002247,230,"Edinburgh, City of",340,10,*,216,10.5
S01002248,230,"Edinburgh, City of",5903,2,22.3,161,5.7
S01002249,230,"Edinburgh, City of",609,16,*,133,10.2
S01002250,230,"Edinburgh, City of",4340,4.6875,6.56,150,5.5
S01002251,230,"Edinburgh, City of",6134,3,13.28,154,3.2
S01002252,230,"Edinburgh, City of",5494,0,22.78,227,5.5
S01002253,230,"Edinburgh, City of",2079,6,*,170,6.9
S01002254,230,"Edinburgh, City of",2397,9,9.62,118,10.2
S01002255,230,"Edinburgh, City of",2936,5,7.1,157,7.2
S01002256,230,"Edinburgh, City of",5632,2,11.93,232,5.5
S01002257,230,"Edinburgh, City of",3532,19,17.43,205,6.6
S01002258,230,"Edinburgh, City of",1148,4,*,169,9.6
S01002259,230,"Edinburgh, City of",3262,4,16.44,206,7.8
S01002260,230,"Edinburgh, City of",6405,2,30.91,200,3.7
S01002261,230,"Edinburgh, City of",4940,4,6.13,130,4.3
S01002262,230,"Edinburgh, City of",5096,3,14.42,141,5.3
S01002263,230,"Edinburgh, City of",6329,3,31.17,112,3.9
S01002264,230,"Edinburgh, City of",4672,5,9.8,210,5.8
S01002265,230,"Edinburgh, City of",467,20,*,251,10
S01002266,230,"Edinburgh, City of",1724,17,*,142,7.8
S01002267,230,"Edinburgh, City of",571,15,*,226,10.2
S01002268,230,"Edinburgh, City of",5729,4,17.65,195,4.8
S01002269,230,"Edinburgh, City of",6273,1.5625,18,137,4.9
S01002270,230,"Edinburgh, City of",1592,16,5.04,136,9.9
S01002271,230,"Edinburgh, City of",5035,7,13.01,139,5.4
S01002272,230,"Edinburgh, City of",4286,9,8.51,258,6.5
S01002273,230,"Edinburgh, City of",2023,12,*,147,8.5
S01002274,230,"Edinburgh, City of",2257,11,6.29,99,8.5
S01002275,230,"Edinburgh, City of",808,25.625,*,111,9.6
S01002276,230,"Edinburgh, City of",6503,0,20.16,211,2.7
S01002277,230,"Edinburgh, City of",1161,18.75,5.52,110,10.5
S01002278,230,"Edinburgh, City of",448,16,*,97,8.9
S01002279,230,"Edinburgh, City of",369,21,*,245,10.4
S01002280,230,"Edinburgh, City of",5125,4,11.76,169,4.9
S01002281,230,"Edinburgh, City of",186,19,*,118,10
S01002282,230,"Edinburgh, City of",75,5,*,219,11.7
S01002283,230,"Edinburgh, City of",5788,3,20.69,168,5.5
S01002284,230,"Edinburgh, City of",2600,10,6.91,119,8.2
S01002285,230,"Edinburgh, City of",802,27.5,*,133,10.3
S01002286,230,"Edinburgh, City of",5917,0,18.18,106,4.6
S01002287,230,"Edinburgh, City of",5395,5,23.08,64,7.2
S01002288,230,"Edinburgh, City of",1989,16,6.25,179,9.2
S01002289,230,"Edinburgh, City of",1515,6.25,7.08,171,10.7
S01002290,230,"Edinburgh, City of",269,22,*,241,13.8
S01002291,230,"Edinburgh, City of",31,35,*,214,12.1
S01002292,230,"Edinburgh, City of",2664,11.25,5.85,6,8.1
S01002293,230,"Edinburgh, City of",2212,13,*,166,6.7
S01002294,230,"Edinburgh, City of",5686,8,15.07,219,6.2
S01002295,230,"Edinburgh, City of",6156,1.25,20.95,222,4.6
S01002296,230,"Edinburgh, City of",5,10,*,251,11.7
S01002297,230,"Edinburgh, City of",3135,10,6.06,128,5.8
S01002298,230,"Edinburgh, City of",5357,7,20.31,138,6.1
S01002299,230,"Edinburgh, City of",5639,2,11.11,146,5.6
S01002300,230,"Edinburgh, City of",6359,4,28.09,150,4.1
S01002301,230,"Edinburgh, City of",1075,11,*,112,9.2
S01002302,230,"Edinburgh, City of",439,26,*,120,10.6
S01002303,230,"Edinburgh, City of",1443,8,*,163,10.2
S01002304,230,"Edinburgh, City of",2165,17,8.5,234,11.1
S01002305,230,"Edinburgh, City of",539,31,*,139,11.4
S01002306,230,"Edinburgh, City of",1647,6,*,119,8.6
S01002307,230,"Edinburgh, City of",3307,10,*,177,7.4
S01002308,230,"Edinburgh, City of",6011,3,10.79,121,4
S01002309,230,"Edinburgh, City of",851,18,*,224,8.1
S01002310,230,"Edinburgh, City of",641,26,*,260,8
S01002311,230,"Edinburgh, City of",6035,0,29.41,190,5.1
S01002312,230,"Edinburgh, City of",614,31,6.45,224,10.2
S01002313,230,"Edinburgh, City of",6124,10,25.35,160,4.1
S01002314,230,"Edinburgh, City of",6169,5,14.41,137,3.6
S01002315,230,"Edinburgh, City of",4472,7,11.22,128,5.9
S01002316,230,"Edinburgh, City of",6484,2,29.66,229,3.4
S01002317,230,"Edinburgh, City of",2694,10,7.29,99,9
S01002318,230,"Edinburgh, City of",902,17,*,178,11.3
S01002319,230,"Edinburgh, City of",645,22,*,146,9
S01002320,230,"Edinburgh, City of",5877,6.25,24.07,110,5.2
S01002321,230,"Edinburgh, City of",80,26,*,174,10.3
S01002322,230,"Edinburgh, City of",4939,10,8.6,166,4.7
S01002323,230,"Edinburgh, City of",3878,14,14.29,211,5.1
S01002324,230,"Edinburgh, City of",220,25,*,176,10
S01002325,230,"Edinburgh, City of",2481,17,11.91,174,8.2
S01002326,230,"Edinburgh, City of",2063,6,*,181,9.7
S01002327,230,"Edinburgh, City of",5054,6,11.43,178,4.8
S01002328,230,"Edinburgh, City of",4514,7,13.83,183,4.5
S01002329,230,"Edinburgh, City of",3809,5,5.26,224,4.8
S01002330,230,"Edinburgh, City of",3370,6,7.28,218,6.6
S01002331,230,"Edinburgh, City of",2982,17,5.04,200,5.4
S01002332,230,"Edinburgh, City of",5381,9,11.06,214,4.6
S01002333,230,"Edinburgh, City of",5588,6,9.87,201,4.4
S01002334,230,"Edinburgh, City of",6160,1,18.32,190,3.6
S01002335,230,"Edinburgh, City of",5331,1,10.71,197,5.1
S01002336,230,"Edinburgh, City of",5797,4,12.68,217,4
S01002337,230,"Edinburgh, City of",5111,7,16.57,217,5.4
S01002338,230,"Edinburgh, City of",3098,3,*,172,6.2
S01002339,235,Eilean Siar,3181,0,*,198,6.9
S01002340,235,Eilean Siar,3764,18,21.43,193,6.7
S01002341,235,Eilean Siar,4025,4,16.67,206,6.6
S01002342,235,Eilean Siar,3128,0,6.76,192,7.5
S01002343,235,Eilean Siar,3293,5,9.4,192,6.3
S01002344,235,Eilean Siar,3994,0,10,227,5.7
S01002345,235,Eilean Siar,3748,6,8.4,200,6.8
S01002346,235,Eilean Siar,4503,1,18.54,189,6.6
S01002347,235,Eilean Siar,3739,6,17.02,185,7.1
S01002348,235,Eilean Siar,4794,2,5.65,176,4.2
S01002349,235,Eilean Siar,4533,7,6.54,198,3.4
S01002350,235,Eilean Siar,4165,12,14.94,184,5
S01002351,235,Eilean Siar,3918,13,20.31,182,6.9
S01002352,235,Eilean Siar,3321,7,13.13,226,7.1
S01002353,235,Eilean Siar,5163,1,22.64,201,5.2
S01002354,235,Eilean Siar,3900,5,13.08,185,6.4
S01002355,235,Eilean Siar,3382,6.25,10.24,153,6.3
S01002356,235,Eilean Siar,4445,8,10.66,177,6.8
S01002357,235,Eilean Siar,4274,8,9.84,180,5.3
S01002358,235,Eilean Siar,3713,4,14.81,198,7.2
S01002359,235,Eilean Siar,2857,1.5625,7.52,199,6.8
S01002360,235,Eilean Siar,3547,0,*,162,5.5
S01002361,235,Eilean Siar,3387,6.25,6.31,191,5.7
S01002362,235,Eilean Siar,4193,2,9.9,186,6.7
S01002363,235,Eilean Siar,3961,6,10.4,186,5.5
S01002364,235,Eilean Siar,2055,15,5.84,194,7.9
S01002365,235,Eilean Siar,3356,8,6.78,205,5.3
S01002366,235,Eilean Siar,3942,4,12.12,190,6.3
S01002367,235,Eilean Siar,4330,5,13.33,184,4.6
S01002368,235,Eilean Siar,3930,6,8.87,171,4.9
S01002369,235,Eilean Siar,4777,9,20,197,5
S01002370,235,Eilean Siar,3483,7,9.43,188,6
S01002371,235,Eilean Siar,4288,6,8.25,140,4.6
S01002372,235,Eilean Siar,3095,5,8.33,124,6.6
S01002373,235,Eilean Siar,4535,0,12.5,134,5.7
S01002374,235,Eilean Siar,3477,3,8.33,198,5.7
S01002375,240,Falkirk,1645,6,*,155,8.3
S01002376,240,Falkirk,1756,11,*,162,7.6
S01002377,240,Falkirk,1192,20,*,151,9
S01002378,240,Falkirk,4909,5,11.94,128,4.9
S01002379,240,Falkirk,1622,15,*,221,8.4
S01002380,240,Falkirk,2263,11,*,153,6.7
S01002381,240,Falkirk,1884,16,*,115,7.6
S01002382,240,Falkirk,453,15,*,205,11.2
S01002383,240,Falkirk,5031,5,6.32,207,5.4
S01002384,240,Falkirk,1560,13,*,221,7.9
S01002385,240,Falkirk,385,21,*,209,9.4
S01002386,240,Falkirk,4722,9,8.14,213,4.9
S01002387,240,Falkirk,5324,6,10.16,231,3.9
S01002388,240,Falkirk,5511,2,5.99,188,4.7
S01002389,240,Falkirk,5825,4,10.87,224,4.1
S01002390,240,Falkirk,5646,1,13.79,190,3.9
S01002391,240,Falkirk,6118,1,18.29,232,4.1
S01002392,240,Falkirk,5000,6,10.76,161,4
S01002393,240,Falkirk,5752,3,10.4,213,3.9
S01002394,240,Falkirk,3447,7.5,8,216,5.8
S01002395,240,Falkirk,5683,6,10.27,143,4.6
S01002396,240,Falkirk,3487,4,8.28,265,6.3
S01002397,240,Falkirk,4102,1,*,235,5.6
S01002398,240,Falkirk,5344,2,9.33,154,5.9
S01002399,240,Falkirk,2195,12,8.19,143,7.1
S01002400,240,Falkirk,6097,4,11.7,208,4.1
S01002401,240,Falkirk,6117,2.5,12.13,233,4.3
S01002402,240,Falkirk,1365,9,*,164,9
S01002403,240,Falkirk,1167,18,*,198,9.3
S01002404,240,Falkirk,4678,1.5625,6.34,139,6
S01002405,240,Falkirk,5279,5,8.06,251,6.2
S01002406,240,Falkirk,1061,14,*,230,9.1
S01002407,240,Falkirk,2586,14,*,193,7.7
S01002408,240,Falkirk,1303,5,*,219,8.4
S01002409,240,Falkirk,5685,10,12.5,177,5.1
S01002410,240,Falkirk,5452,5,13.04,165,5.7
S01002411,240,Falkirk,3295,6,*,144,5.2
S01002412,240,Falkirk,5157,3,10.47,205,5
S01002413,240,Falkirk,2804,9.375,8.33,192,8.1
S01002414,240,Falkirk,461,13,*,188,9.8
S01002415,240,Falkirk,941,12.5,*,239,7.9
S01002416,240,Falkirk,5200,4,*,176,3.6
S01002417,240,Falkirk,4375,4,5.48,201,5.6
S01002418,240,Falkirk,2615,9,*,235,7.6
S01002419,240,Falkirk,6400,0,17.02,203,4.7
S01002420,240,Falkirk,1774,10,*,170,7.9
S01002421,240,Falkirk,5014,3,10.49,165,4.8
S01002422,240,Falkirk,6266,3,23.33,218,3.6
S01002423,240,Falkirk,4496,14,*,244,3.7
S01002424,240,Falkirk,3237,11,5.04,213,4.9
S01002425,240,Falkirk,2446,15,*,205,6.4
S01002426,240,Falkirk,3083,6,5.17,158,9.8
